Time,Stage,Stage Time,Mach Number,Angle of Attack,CD,CL,Thrust,Weight,Drag,Lift,CG,CP,Stability Margin,Accel,Accel-V,Accel-H,Velocity,Vel-V,Vel-H,Pitch Attitude,Flight Path Angle,Altitude,Distance
0,S,0,0,0,0,0,0,61.16,0,0,61.1,69.88274,1.531429,0,0,0,0,0,0,84,84,0,0
0.010,S,0.010,0.010,0,0.3349482,0,797.0903,61.16,0,0,61.08737,69.88274,1.533631,387.336403192622,384.848473611121,43.8308293029849,23.5375696674043,3.848485,0.4383083,84,84,0.01924242,0.002191541
0.02,S,0.02,0.02078422,0,0.3298107,0,1510.21,61.14202,0.03497063,0,61.07474,69.88274,1.535833,762.69028053734,758.153269335905,83.0667455809247,26.6292936331836,11.43002,1.268976,84,84,0.09563495,0.01072796
0.03,S,0.03,0.02351429,0,0.3279744,0,1512.113,61.08828,0.04451168,0,61.06211,69.88274,1.538036,764.386668701867,759.840380869375,83.2440681936026,31.3255572436929,19.02842,2.101417,84,84,0.2479272,0.02757993
0.04,S,0.04,0.02766122,0,0.3246666,0,1514.016,61.01993,0.06097448,0,61.04948,69.88274,1.540238,766.273466292844,761.716860504904,83.4412941354756,37.0326940099851,26.64559,2.93583,84,84,0.4762972,0.05276617
0.05,S,0.05,0.03270078,0,0.3203927,0,1515.201,60.9515,0.08409365,0,61.03685,69.88274,1.54244,767.782756552591,763.217897142216,83.5990594523001,43.3600962998339,34.27777,3.771821,84,84,0.7809139,0.08630443
0.05999999,S,0.05999999,0.03828807,0,0.315736,0,1509.916,60.88297,0.1136085,0,61.02422,69.88274,1.544642,765.874542868583,761.320118598049,83.3995949151604,50.0497128034659,41.89097,4.605817,84,84,1.161758,0.1281926
0.06999999,S,0.06999999,0.04419523,0,0.3110949,0,1504.632,60.81456,0.1491412,0,61.01159,69.88274,1.546845,763.957519056397,759.413578016048,83.1992094173304,56.9663186543868,49.4851,5.437809,84,84,1.618638,0.1784107
0.07999999,S,0.07999999,0.05030286,0,0.3106642,0,1499.347,60.74638,0.1929407,0,60.99896,69.88274,1.549047,762.028756075559,757.495362375132,82.9975967497311,64.0294376281859,57.06005,6.267785,84,84,2.151364,0.2369387
0.08999999,S,0.08999999,0.05653989,0,0.3106191,0,1494.063,60.67845,0.2437122,0,60.98633,69.88274,1.551249,760.088986203845,755.566199923275,82.7948336666644,71.1891889058684,64.61572,7.095733,84,84,2.759743,0.3037563
0.09999999,S,0.09999999,0.06286229,0,0.3102838,0,1488.779,60.61075,0.3009328,0,60.9737,69.88274,1.553451,758.138295384567,753.626176154582,82.590928940407,78.4133568324892,72.15199,7.921642,84,84,3.443581,0.3788432
0.11,S,0.11,0.06924162,0,0.3097649,0,1487.669,60.5433,0.3644908,0,60.96107,69.88274,1.555653,758.394898829961,753.881376418014,82.6177514907479,85.7017221275176,79.6908,8.747819,84,84,4.202795,0.4621905
0.12,S,0.12,0.07567768,0,0.3091295,0,1488.348,60.47602,0.4344948,0,60.94844,69.88274,1.557856,759.598116851298,755.078014823104,82.7435233407282,93.049009269601,87.24158,9.575254,84,84,5.037457,0.5538058
0.13,S,0.13,0.08216583,0,0.3084216,0,1489.026,60.40871,0.5110027,0,60.93581,69.88274,1.560058,760.800869806075,756.274190690127,82.8692463684424,100.445010449758,94.80432,10.40395,84,84,5.947686,0.6537018
0.14,S,0.14,0.08869705,0,0.3076711,0,1489.706,60.34138,0.5940011,0,60.92318,69.88274,1.56226,762.003311727052,757.470057163124,82.994937100334,107.882230774267,102.379,11.2339,84,84,6.933603,0.7618911
0.15,S,0.15,0.09526474,0,0.3068982,0,1490.385,60.27402,0.6834803,0,60.91055,69.88274,1.564462,763.205467252754,758.665638792502,83.1205976882972,115.355154763066,109.9657,12.06511,84,84,7.995326,0.8783861
0.16,S,0.16,0.101864,0,0.3061166,0,1491.064,60.20663,0.7794349,0,60.89792,69.88274,1.566665,764.407437249762,759.86103584686,83.246239101146,122.859401906072,117.5643,12.89757,84,84,9.132977,1.0032
0.17,S,0.17,0.108491,0,0.3053356,0,1491.744,60.13921,0.8818599,0,60.88529,69.88274,1.568867,765.609062911446,761.056090434831,83.3718443132506,130.391767709904,125.1749,13.73129,84,84,10.34667,1.136344
0.18,S,0.18,0.115143,0,0.3045616,0,1492.424,60.07176,0.9907542,0,60.87266,69.88274,1.571069,766.810377803108,762.250835891672,83.4974172594111,137.949556021805,132.7974,14.56626,84,84,11.63653,1.277832
0.19,S,0.19,0.1218174,0,0.3037988,0,1493.104,60.00428,1.106119,0,60.86003,69.88274,1.573271,768.011531960341,763.445421479304,83.6229731973133,145.53079622194,140.4319,15.40249,84,84,13.00268,1.427675
0.2,S,0.2,0.1285127,0,0.3030454,0,1493.784,59.93676,1.227936,0,60.8474,69.88274,1.575474,769.212336880357,764.639659702732,83.7484926349693,153.133721721373,148.0783,16.23997,84,84,14.44523,1.585888
0.21,S,0.21,0.1352272,0,0.3023125,0,1494.464,59.86921,1.356247,0,60.83477,69.88274,1.577676,770.412903065406,765.833660460108,83.8739871231718,160.756976184872,155.7366,17.07871,84,84,15.9643,1.752481
0.22,S,0.22,0.1419598,7.986563,0.3015964,0,1495.145,59.80164,1.491037,0,60.82214,69.88274,1.579878,771.613302319618,767.0275,83.99942,168.399534766578,163.4069,17.9187,84,83.74212,17.59837,1.927468
0.23,S,0.23,0.1487095,7.634429,0.4869576,1.262505,1495.826,59.73403,2.641653,7.485296,60.80951,69.88274,1.58208,772.279068413412,768.0831,80.39472,176.050218251178,171.0877,18.72265,83.99815,83.7548,19.30925,2.110675
0.24,S,0.24,0.1554666,7.306775,0.4702711,1.208042,1496.506,59.66639,2.78807,7.799569,60.79688,69.88274,1.584282,773.478949356463,769.2917,80.37391,183.718659544076,178.7806,19.52639,83.99252,83.76687,21.09706,2.30192
0.25,S,0.25,0.1622394,7.000329,0.4553566,1.157226,1497.188,59.59872,2.939806,8.109265,60.78426,69.88274,1.586485,774.679188716731,770.4949,80.40805,191.404207322329,186.4855,20.33047,83.983,83.77824,22.96191,2.501204
0.26,S,0.26,0.1690274,6.712297,0.4419423,1.109583,1497.869,59.53102,3.096751,8.413328,60.77163,69.88274,1.588687,775.879720696414,771.6924,80.49957,199.106406181606,194.2024,21.13547,83.96947,83.78882,24.90393,2.708534
0.27,S,0.27,0.1758303,6.440272,0.4298068,1.064703,1498.55,59.46329,3.258803,8.7106,60.759,69.88274,1.590889,777.080609821894,772.884,80.65108,206.824779629322,201.9312,21.94198,83.95179,83.79853,26.92325,2.923921
0.28,S,0.28,0.1826477,6.182194,0.418768,1.022233,1499.232,59.39553,3.425851,8.999812,60.74636,69.88274,1.593091,778.281941911231,774.0695,80.86526,214.559018292855,209.6719,22.75063,83.92987,83.8073,29.01997,3.147384
0.29,S,0.29,0.1894791,5.93628,0.4086755,0.9818659,1499.913,59.32774,3.597797,9.279613,60.73373,69.88274,1.595294,779.483796954796,775.2487,81.14458,222.308771267846,217.4244,23.56207,83.90361,83.81505,31.19421,3.378948
0.3,S,0.3,0.1963245,5.700976,0.3994055,0.9433375,1500.595,59.25991,3.774553,9.548593,60.7211,69.88274,1.597496,780.685972377902,776.4211,81.49149,230.073735662775,225.1886,24.37699,83.87291,83.82171,33.44609,3.618643
0.31,S,0.31,0.2031834,5.47492,0.3908539,0.9064147,1501.277,59.19206,3.956028,9.80523,60.70848,69.88274,1.599698,781.888785873433,777.5867,81.90847,237.853741323546,232.9645,25.19607,83.83768,83.82722,35.77574,3.866508
0.32,S,0.32,0.2100557,5.256937,0.3829332,0.8708917,1501.96,59.12418,4.14215,10.04789,60.69585,69.88274,1.6019,783.092075580619,778.745,82.39796,245.648462459453,240.7519,26.02005,83.79784,83.83151,38.18326,4.122589
0.33,S,0.33,0.2169413,5.045972,0.3755709,0.8365918,1502.642,59.05626,4.332848,10.27493,60.68322,69.88274,1.604102,784.295982907581,779.8958,82.96222,253.45789218119,248.5509,26.84967,83.75333,83.83454,40.66877,4.386938
0.3399999,S,0.3399999,0.2238399,4.841125,0.3687046,0.8033548,1503.325,58.98831,4.528076,10.48453,60.67059,69.88274,1.606305,785.500385073647,781.0386,83.60359,261.281758534994,256.3613,27.68571,83.70409,83.83624,43.23238,4.659615
0.3499999,S,0.3499999,0.2307515,4.641597,0.362283,0.771044,1504.007,58.92033,4.727794,10.67488,60.65796,69.88274,1.608507,786.705457634217,782.1732,84.32415,269.119905007771,264.183,28.52895,83.65006,83.83655,45.87421,4.940688
0.3599999,S,0.3599999,0.2376759,4.446681,0.356262,0.7395378,1504.69,58.85233,4.931982,10.8441,60.64533,69.88274,1.610709,787.911292863118,783.2993,85.12586,276.972297505133,272.016,29.38021,83.59123,83.83543,48.59437,5.230234
0.3699999,S,0.3699999,0.2446131,4.255769,0.3506045,0.7087281,1505.373,58.78429,5.140645,10.9902,60.6327,69.88274,1.612911,789.11771432375,784.4163,86.01067,284.838817483009,279.8602,30.24032,83.52757,83.83282,51.39297,5.528337
0.3799999,S,0.3799999,0.2515629,4.068324,0.3453057,0.67852,1506.057,58.71622,5.354211,11.11114,60.62007,69.88274,1.615113,790.32464227894,785.5237,86.98021,292.719262989108,287.7154,31.11012,83.45906,83.8287,54.27013,5.835089
0.3899999,S,0.3899999,0.2585252,3.883873,0.3404043,0.6488268,1506.854,58.64812,5.573863,11.20486,60.60744,69.88274,1.617316,791.593733651344,786.6823,88.04316,300.614245891106,295.5822,31.99055,83.38572,83.82298,57.22595,6.150592
0.3999999,S,0.3999999,0.2655006,3.702015,0.3357864,0.6195834,1507.726,58.57999,5.798358,11.2694,60.59481,69.88274,1.619518,792.905024419055,787.8718,89.19868,308.524090473726,303.4609,32.88253,83.30758,83.81565,60.26056,6.474957
0.4099999,S,0.4099999,0.2724893,3.522409,0.3314333,0.5907279,1508.599,58.51182,6.027822,11.30265,60.58218,69.88274,1.62172,794.217321447136,789.0508,90.44329,316.448730691134,311.3514,33.78696,83.22466,83.80666,63.37408,6.808305
0.4199999,S,0.4199999,0.2794914,3.344777,0.3273295,0.5622085,1509.472,58.44361,6.26239,11.30253,60.56955,69.88274,1.623922,795.53060184569,790.2188,91.77792,324.388108188782,319.2536,34.70474,83.13705,83.79597,66.56661,7.150764
0.4299999,S,0.4299999,0.2865066,3.168883,0.323462,0.5339824,1510.345,58.37536,6.502236,11.26698,60.55692,69.88274,1.626125,796.845036941499,791.3755,93.20317,332.342172422186,327.1674,35.63677,83.0448,83.78355,69.83829,7.502471
0.4399998,S,0.4399998,0.293535,2.994549,0.3198201,0.5060136,1511.218,58.30708,6.74756,11.19396,60.54429,69.88274,1.628327,798.160507875211,792.5203,94.71943,340.310782043449,335.0926,36.58396,82.94802,83.76937,73.18922,7.863575
0.4499998,S,0.4499998,0.3005766,2.821628,0.3163951,0.4782757,1512.092,58.23875,6.998589,11.08152,60.53166,69.88274,1.630529,799.476872169494,793.6526,96.32663,348.293900044774,343.0291,37.54723,82.84682,83.7534,76.61951,8.23423
0.4599998,S,0.4599998,0.3076311,2.650019,0.3131795,0.4507459,1512.965,58.17038,7.25559,10.92774,60.51903,69.88274,1.632731,800.79430016895,794.7721,98.02459,356.291494430275,350.9768,38.52748,82.74135,83.7356,80.12927,8.614604
0.4699998,S,0.4699998,0.3146988,2.479667,0.3101672,0.4234102,1513.839,58.10197,7.518861,10.73083,60.5064,69.88274,1.634934,802.112835373924,795.8784,99.81269,364.303536705256,358.9356,39.52561,82.63175,83.71597,83.71863,9.004869
0.4799998,S,0.4799998,0.3217794,2.310544,0.3073532,0.3962605,1514.713,58.03353,7.78872,10.4891,60.49377,69.88274,1.637136,803.432479838381,796.9711,101.6898,372.32990385594,366.9053,40.54251,82.5182,83.69448,87.38768,9.40521
0.4899998,S,0.4899998,0.3288729,2.142672,0.3047332,0.3692936,1515.587,57.96505,8.065524,10.201,60.48114,69.88274,1.639338,804.753030538761,798.0496,103.6546,380.370575275091,374.8858,41.57906,82.40092,83.67112,91.13654,9.815819
0.4999998,S,0.4999998,0.3359794,1.976092,0.3023034,0.3425141,1516.461,57.89652,8.349657,9.865197,60.46851,69.88274,1.64154,806.074905428776,799.114,105.7051,388.425530329445,382.877,42.63611,82.28013,83.64587,94.96531,10.23689
0.5099998,S,0.5099998,0.3430987,1.810887,0.3000606,0.3159297,1517.336,57.82796,8.641512,9.48048,60.45588,69.88274,1.643742,807.397595149534,800.1635,107.839,396.494653629177,390.8787,43.7145,82.15606,83.61875,98.8741,10.66865
0.5199998,S,0.5199998,0.3502308,1.647173,0.2980015,0.2895546,1518.21,57.75936,8.94151,9.04591,60.44325,69.88274,1.645945,808.721132305426,801.1979,110.0536,404.577828404594,398.8907,44.81504,82.02898,83.58974,102.863,11.1113
0.5299998,S,0.5299998,0.3573757,1.485092,0.2961232,0.2634084,1519.085,57.69072,9.250088,8.56082,60.43062,69.88274,1.648147,810.045857160025,802.2174,112.3456,412.675035794856,406.9129,45.9385,81.89922,83.55885,106.9321,11.56506
0.5399998,S,0.5399998,0.3645332,1.32482,0.2944223,0.2375145,1519.96,57.62204,9.56769,8.024778,60.41799,69.88274,1.650349,811.371515283905,803.2217,114.7111,420.786157052314,414.9451,47.08561,81.76706,83.52609,111.0816,12.03018
0.5499998,S,0.5499998,0.3717033,1.16655,0.2928955,0.2119026,1520.835,57.55332,9.894761,7.437734,60.40536,69.88274,1.652551,812.697954361262,804.2107,117.1457,428.911170114496,422.9872,48.25706,81.63285,83.49148,115.3115,12.5069
