Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,61.16,0,0,61.1,69.88274,1.531429,0,0,0,0,0,0,84,84,0,0
0.010,S,0.010,0.010,0,0.3349482,0,797.0903,61.16,0,0,61.08737,69.88274,1.533631,387.336403192622,384.848473611121,43.8308293029849,23.5375696674043,3.848485,0.4383083,84,84,0.01924242,0.002191541
0.02,S,0.02,0.02078422,0,0.3298107,0,1510.21,61.14202,0.03497063,0,61.07474,69.88274,1.535833,762.69028053734,758.153269335905,83.0667455809247,26.6292936331836,11.43002,1.268976,84,84,0.09563495,0.01072796
0.03,S,0.03,0.02351429,0,0.3279744,0,1512.113,61.08828,0.04451168,0,61.06211,69.88274,1.538036,764.386668701867,759.840380869375,83.2440681936026,31.3255572436929,19.02842,2.101417,84,84,0.2479272,0.02757993
0.04,S,0.04,0.02766122,0,0.3246666,0,1514.016,61.01993,0.06097448,0,61.04948,69.88274,1.540238,766.273466292844,761.716860504904,83.4412941354756,37.0326940099851,26.64559,2.93583,84,84,0.4762972,0.05276617
0.05,S,0.05,0.03270078,0,0.3203927,0,1515.201,60.9515,0.08409365,0,61.03685,69.88274,1.54244,767.782756552591,763.217897142216,83.5990594523001,43.3600962998339,34.27777,3.771821,84,84,0.7809139,0.08630443
0.05999999,S,0.05999999,0.03828807,0,0.315736,0,1509.916,60.88297,0.1136085,0,61.02422,69.88274,1.544642,765.874542868583,761.320118598049,83.3995949151604,50.0497128034659,41.89097,4.605817,84,84,1.161758,0.1281926
0.06999999,S,0.06999999,0.04419523,0,0.3110949,0,1504.632,60.81456,0.1491412,0,61.01159,69.88274,1.546845,763.957519056397,759.413578016048,83.1992094173304,56.9663186543868,49.4851,5.437809,84,84,1.618638,0.1784107
0.07999999,S,0.07999999,0.05030286,0,0.306657,0,1499.347,60.74638,0.1904519,0,60.99896,69.88274,1.549047,762.030074210461,757.49667330192,82.9977345336925,64.0294563166222,57.06007,6.267787,84,84,2.151364,0.2369387
0.08999999,S,0.08999999,0.05653991,0,0.3024972,0,1494.063,60.67845,0.2373399,0,60.98633,69.88274,1.551249,760.092365003563,755.569560246466,82.7951868508736,71.189236690523,64.61577,7.095739,84,84,2.759743,0.3037564
0.09999999,S,0.09999999,0.06286234,0,0.2986328,0,1488.779,60.61075,0.2896334,0,60.9737,69.88274,1.553451,758.14429341566,753.632141386524,82.591555911566,78.413453701984,72.15209,7.921654,84,84,3.443582,0.3788433
0.11,S,0.11,0.0692417,0,0.2950551,0,1487.669,60.5433,0.3471829,0,60.96107,69.88274,1.555653,758.404096487261,753.890523779522,82.618712917211,85.7019068712438,79.69099,8.747841,84,84,4.202798,0.4621908
0.12,S,0.12,0.07567784,0,0.2917345,0,1488.348,60.47602,0.4100471,0,60.94844,69.88274,1.557856,759.611123228383,755.090950076671,82.7448828907004,93.0493215682842,87.2419,9.57529,84,84,5.037462,0.5538064
0.13,S,0.13,0.08216611,0,0.2886457,0,1489.026,60.40871,0.4782405,0,60.93581,69.88274,1.560058,760.818318934604,756.291544400047,82.8710703169038,100.445489632586,94.80481,10.404,84,84,5.947696,0.6537029
0.14,S,0.14,0.08869748,0,0.2857676,0,1489.706,60.34138,0.5517186,0,60.92318,69.88274,1.56226,762.025856522158,757.492478673845,82.9972936961379,107.882917017715,102.3797,11.23397,84,84,6.933618,0.7618927
0.15,S,0.15,0.09526534,0,0.2830799,0,1490.385,60.27402,0.6304435,0,60.91055,69.88274,1.564462,763.233777742344,758.693794467609,83.1235569690806,115.356042964726,109.9666,12.06521,84,84,7.995349,0.8783886
0.16,S,0.16,0.1018648,0,0.280564,0,1491.064,60.20663,0.7143839,0,60.89792,69.88274,1.566665,764.442199721289,759.895608220509,83.2498728041415,122.860686590938,117.5656,12.89771,84,84,9.133011,1.003203
0.17,S,0.17,0.1084922,0,0.2782033,0,1491.744,60.13921,0.8035141,0,60.88529,69.88274,1.568867,765.65097690668,761.097775222954,83.3762255611513,130.393450168767,125.1766,13.73147,84,84,10.34672,1.136349
0.18,S,0.18,0.1151445,0,0.2759829,0,1492.424,60.07176,0.8978096,0,60.87266,69.88274,1.571069,766.860157819553,762.300343684088,83.5026207382186,137.951738664609,132.7996,14.5665,84,84,11.6366,1.277839
0.19,S,0.19,0.1218194,0,0.2738897,0,1493.104,60.00428,0.9972523,0,60.86003,69.88274,1.573271,768.069904902541,763.503475204962,83.6290748899239,145.533480446065,140.4346,15.40279,84,84,13.00277,1.427685
0.2,S,0.2,0.1285151,0,0.2706733,0,1493.784,59.93676,1.096806,0,60.8474,69.88274,1.575474,769.282727014088,764.70966490096,83.7558504779999,153.137106686043,148.0817,16.24035,84,84,14.44535,1.585901
0.21,S,0.21,0.1352302,0,0.2727035,0,1494.464,59.86921,1.223468,0,60.83477,69.88274,1.577676,770.484258579261,765.904625757069,83.8814458766484,160.761059759627,155.7407,17.07916,84,84,15.96447,1.752499
0.22,S,0.22,0.1419634,7.986344,0.2744539,0,1495.145,59.80164,1.356918,0,60.82214,69.88274,1.579878,771.685398105485,767.0992,84.00697,168.404320616236,163.4117,17.91923,84,83.74212,17.59858,1.927491
0.23,S,0.23,0.1487138,7.634158,0.4617718,1.266003,1495.826,59.73403,2.505167,7.506512,60.80951,69.88274,1.58208,772.352619656112,768.1573,80.39236,176.055778213886,171.0933,18.72315,83.99815,83.75483,19.30952,2.110703
0.24,S,0.24,0.1554715,7.306461,0.4471096,1.211103,1496.506,59.66639,2.650921,7.819871,60.79688,69.88274,1.584282,773.552946056216,769.3663,80.37199,183.724998215389,178.787,19.52687,83.99252,83.76694,21.09739,2.301953
0.25,S,0.25,0.162245,6.999981,0.4340204,1.159911,1497.188,59.59872,2.802251,8.128685,60.78426,69.88274,1.586485,774.753526444818,770.5698,80.40653,191.411328416847,186.4927,20.33094,83.983,83.77834,22.96231,2.501242
0.26,S,0.26,0.1690337,6.711917,0.422258,1.111943,1497.869,59.53102,2.959041,8.431898,60.77163,69.88274,1.588687,775.954198741906,771.7674,80.49844,199.114310537465,194.2104,21.13593,83.96947,83.78894,24.90442,2.708576
0.27,S,0.27,0.1758373,6.439867,0.4116218,1.066782,1498.55,59.46329,3.121172,8.728344,60.759,69.88274,1.590889,777.155124916574,772.959,80.65031,206.833468760574,201.94,21.94243,83.95179,83.79868,26.92382,2.923968
0.28,S,0.28,0.1826553,6.181773,0.4019476,1.024066,1499.232,59.39553,3.288524,9.016739,60.74636,69.88274,1.593091,778.356294500156,774.1443,80.86485,214.568397438669,209.6814,22.75108,83.92987,83.80746,29.02063,3.147435
0.29,S,0.29,0.1894874,5.935844,0.3931011,0.9834856,1499.913,59.32774,3.460989,9.295763,60.73373,69.88274,1.595294,779.557982308084,775.3233,81.14449,222.318840610502,217.4346,23.56252,83.90361,83.81522,31.19498,3.379004
0.3,S,0.3,0.1963334,5.700524,0.3849707,0.9447684,1500.595,59.25991,3.638467,9.563979,60.7211,69.88274,1.597496,780.7598894794,776.4954,81.49171,230.084594374418,225.1996,24.37744,83.87291,83.82189,33.44697,3.618703
0.31,S,0.31,0.2031929,5.47446,0.3774638,0.9076786,1501.277,59.19206,3.820861,9.819857,60.70848,69.88274,1.599698,781.9622353677,777.6605,81.909,237.865293552325,232.9762,25.19653,83.83768,83.82742,35.77673,3.866573
0.32,S,0.32,0.2100659,5.256458,0.3705032,0.8720092,1501.96,59.12418,4.008085,10.0618,60.69585,69.88274,1.6019,783.164954494743,778.8182,82.39877,245.66080651936,240.7644,26.02052,83.79784,83.83172,38.18438,4.122658
0.33,S,0.33,0.2169522,5.045487,0.3640242,0.8375772,1502.642,59.05626,4.20006,10.28809,60.68322,69.88274,1.604102,784.368301499613,779.9684,82.96341,253.470930383402,248.5641,26.85015,83.75333,83.83476,40.67002,4.387012
0.3399999,S,0.3399999,0.2238514,4.840633,0.3579729,0.8042244,1503.325,58.98831,4.396732,10.49699,60.67059,69.88274,1.606305,785.572032086016,781.1105,83.60505,261.295491094083,256.3752,27.6862,83.70408,83.83646,43.23377,4.659693
0.3499999,S,0.3499999,0.2307637,4.641101,0.3523039,0.7718102,1504.007,58.92033,4.598049,10.68664,60.65796,69.88274,1.608507,786.776332405689,782.2443,84.32587,269.134432813123,264.1977,28.52946,83.65005,83.83678,45.87574,4.940772
0.3599999,S,0.3599999,0.2376888,4.446182,0.3469791,0.7402118,1504.69,58.85233,4.803991,10.85517,60.64533,69.88274,1.610709,787.981193234811,783.3694,85.12781,276.987521441584,272.0314,29.38074,83.59122,83.83567,48.59606,5.230322
0.3699999,S,0.3699999,0.2446265,4.255268,0.3419665,0.7093197,1505.373,58.78429,5.014544,11.0006,60.6327,69.88274,1.612911,789.186740762685,784.4855,86.01286,284.854738341651,279.8763,30.24087,83.52756,83.83307,51.39482,5.52843
0.3799999,S,0.3799999,0.251577,4.06782,0.3372632,0.679038,1506.057,58.71622,5.230092,11.12089,60.62007,69.88274,1.615113,790.392691039315,785.5919,86.9826,292.735880460427,287.7322,31.11069,83.45905,83.82894,54.27214,5.835188
0.3899999,S,0.3899999,0.2585399,3.883372,0.3329059,0.6492794,1506.854,58.64812,5.451701,11.21397,60.60744,69.88274,1.617316,791.660608256709,786.7493,88.04577,300.631562436845,295.5997,31.99115,83.38572,83.82323,57.22814,6.150698
0.3999999,S,0.3999999,0.2655159,3.701514,0.3287947,0.6199777,1507.726,58.57999,5.678279,11.27789,60.59481,69.88274,1.619518,792.970921589853,787.9378,89.20149,308.542105368094,303.4791,32.88316,83.30757,83.8159,60.26293,6.475069
0.4099999,S,0.4099999,0.2725053,3.521912,0.3249138,0.5910694,1508.599,58.51182,5.90994,11.31051,60.58218,69.88274,1.62172,794.28214204411,789.1157,90.4463,316.467345847489,311.3702,33.78762,83.22466,83.80692,63.37663,6.808423
0.4199999,S,0.4199999,0.2795078,3.344283,0.3212505,0.5625029,1509.472,58.44361,6.146811,11.30979,60.56955,69.88274,1.623922,795.594245702358,790.2825,91.78112,324.407323493362,319.273,34.70543,83.13704,83.79623,66.56937,7.150888
0.4299999,S,0.4299999,0.2865235,3.168392,0.3177944,0.5342343,1510.345,58.37536,6.389061,11.27364,60.55692,69.88274,1.626125,796.907403980734,791.4379,93.20655,332.361987755549,327.1874,35.63749,83.04479,83.78381,69.84124,7.502603
0.4399998,S,0.4399998,0.2935525,2.994063,0.3145369,0.5062274,1511.218,58.30708,6.636882,11.20003,60.54429,69.88274,1.628327,798.221498113005,792.5813,94.72298,340.331198611286,335.1132,36.58472,82.94801,83.76962,73.19238,7.863714
0.4499998,S,0.4499998,0.3005946,2.821145,0.3114713,0.4784553,1512.092,58.23875,6.890501,11.08702,60.53166,69.88274,1.630529,799.536585468365,793.7123,96.33035,348.314916376163,343.0503,37.54802,82.84682,83.75365,76.62288,8.234378
0.4599998,S,0.4599998,0.3076497,2.64954,0.3085921,0.4508947,1512.965,58.17038,7.150172,10.93267,60.51903,69.88274,1.632731,800.852537442837,794.8303,98.02847,356.313111702716,350.9986,38.52831,82.74134,83.73586,80.13287,8.614759
0.4699998,S,0.4699998,0.3147178,2.479195,0.3058946,0.4235313,1513.839,58.10197,7.416187,10.7352,60.5064,69.88274,1.634934,802.169593671376,795.9351,99.8167,364.325654930753,358.9579,39.52647,82.63174,83.71622,83.72244,9.005033
0.4799998,S,0.4799998,0.3217989,2.310075,0.3033756,0.3963571,1514.713,58.03353,7.688856,10.49294,60.49377,69.88274,1.637136,803.487754846892,797.0263,101.6939,372.352623345643,366.9282,40.54341,82.5182,83.69473,87.39172,9.405383
0.4899998,S,0.4899998,0.328893,2.142209,0.301032,0.3693677,1515.587,57.96505,7.968536,10.20429,60.48114,69.88274,1.639338,804.806837085831,798.1033,103.6589,380.393797301982,374.9092,41.58,82.40092,83.67137,91.14082,9.816
0.4999998,S,0.4999998,0.3359999,1.975636,0.2988614,0.3425686,1516.461,57.89652,8.255592,9.867969,60.46851,69.88274,1.64154,806.127033380131,799.166,105.7095,388.449255980313,382.9009,42.6371,82.28012,83.64613,94.96983,10.23709
0.5099998,S,0.5099998,0.3431197,1.810444,0.2968616,0.315967,1517.336,57.82796,8.550429,9.482754,60.45588,69.88274,1.643742,807.448144617015,800.2139,107.8435,396.51878219387,390.903,43.71553,82.15606,83.619,98.87885,10.66885
0.5199998,S,0.5199998,0.3502522,1.646742,0.2950307,0.2895777,1518.21,57.75936,8.853447,9.047732,60.44325,69.88274,1.645945,808.770189785609,801.2468,110.0581,404.602458266658,398.9155,44.81611,82.02899,83.59,102.868,11.11151
0.5299998,S,0.5299998,0.3573974,1.484675,0.2933663,0.2634187,1519.085,57.69072,9.165088,8.562192,60.43062,69.88274,1.648147,810.093225118671,802.2646,112.3501,412.700068798064,406.9381,45.93961,81.89923,83.5591,106.9374,11.56528
0.5399998,S,0.5399998,0.3645553,1.324409,0.2918663,0.237514,1519.96,57.62204,9.485778,8.025735,60.41799,69.88274,1.650349,811.417081335277,803.2671,114.7155,420.811692868042,414.9708,47.08677,81.76707,83.52634,111.0871,12.03042
0.5499998,S,0.5499998,0.3717258,1.166146,0.2905278,0.2118914,1520.835,57.55332,9.815961,7.438238,60.40536,69.88274,1.652551,812.741945595458,804.2545,117.1502,428.937109928695,423.0133,48.25827,81.63287,83.49171,115.3172,12.50714
